iter	Logloss
0	0.6833707921
1	0.6729883986
2	0.6632076322
3	0.6519014539
4	0.6426176597
5	0.6358522431
6	0.6278690399
7	0.618928763
8	0.611094282
9	0.6023527152
10	0.5941090558
11	0.5860254793
12	0.5771483936
13	0.569032833
14	0.5618495175
15	0.5541476453
16	0.546236676
17	0.5393541767
18	0.5313456312
19	0.524688178
20	0.5176240767
21	0.5110615658
22	0.504313346
23	0.4973147771
24	0.4910887814
25	0.4845269335
26	0.4776879014
27	0.4699917823
28	0.4637724555
29	0.4565374851
30	0.4514941465
31	0.4458087221
32	0.4399691218
33	0.435593896
34	0.429863187
35	0.4239210982
36	0.4188457724
37	0.4130950716
38	0.4087671061
39	0.4033613968
40	0.3986425329
41	0.3930303392
42	0.3870075978
43	0.3823178266
44	0.378923838
45	0.373882049
46	0.3693465517
47	0.3650003415
48	0.3607874094
49	0.3565527817
50	0.3521586281
51	0.3483910008
52	0.3442011612
53	0.3398956939
54	0.3360854845
55	0.3318227795
56	0.3277241031
57	0.3237095714
58	0.3201410404
59	0.3163046292
60	0.3130314403
61	0.3098920009
62	0.3070219022
63	0.3038779684
64	0.3005367743
65	0.2969198535
66	0.2931442952
67	0.2902284993
68	0.2869393794
69	0.2842136777
70	0.2815435855
71	0.2780591207
72	0.2755143568
73	0.2723433819
74	0.2693881158
75	0.2663583749
76	0.2639608409
77	0.262025153
78	0.2592646546
79	0.2567536075
80	0.2544712917
81	0.252082742
82	0.2497065031
83	0.2480450792
84	0.2457559744
85	0.2429535423
86	0.2405798034
87	0.2383748674
88	0.2363992425
89	0.2340327619
90	0.2317104394
91	0.2294731321
92	0.2274056738
93	0.2251119858
94	0.2230872209
95	0.2216444457
96	0.2197436743
97	0.2179305646
98	0.2158242239
99	0.214034507
100	0.2120064658
101	0.2103175543
102	0.2082164249
103	0.2066000822
104	0.2050442717
105	0.2032873596
106	0.2014253809
107	0.1995958255
108	0.1977867354
109	0.1958664575
110	0.1943142597
111	0.1925491575
112	0.1907066557
113	0.1889643772
114	0.1870494439
115	0.1854879078
116	0.183990828
117	0.1821378146
118	0.180510937
119	0.1787370378
120	0.1776183868
121	0.1759752178
122	0.1745709125
123	0.1730605596
124	0.1719129916
125	0.1703507923
126	0.1689843272
127	0.1678194733
128	0.1663652207
129	0.1652348665
130	0.1639046503
131	0.1626482092
132	0.1615540068
133	0.1601184591
134	0.1594051664
135	0.1582804494
136	0.1570817862
137	0.1558352266
138	0.1546873812
139	0.1534547777
140	0.1522541988
141	0.1511434202
142	0.1498424092
143	0.1486948162
144	0.1478762314
145	0.146841516
146	0.1460026018
147	0.145142922
148	0.1442968194
149	0.1435066088
150	0.1427679036
151	0.1420522699
152	0.1409280065
153	0.1397828862
154	0.1387892428
155	0.1380010266
156	0.1373008364
157	0.1366403471
158	0.1357961847
159	0.134765549
160	0.13371751
161	0.132774324
162	0.1320587187
163	0.1313584088
164	0.130502842
165	0.1297411308
166	0.1289341742
167	0.12830939
168	0.1273765736
169	0.1265086631
170	0.125814725
171	0.1252051945
172	0.1242171106
173	0.1232385331
174	0.1223066198
175	0.1215242918
176	0.120774358
177	0.1201124194
178	0.1193091145
179	0.1184308086
180	0.1176804204
181	0.1170203059
182	0.1160859112
183	0.1155180164
184	0.1148015986
185	0.1140535544
186	0.1132943148
187	0.1126668427
188	0.1118218373
189	0.1112161698
190	0.1106903148
191	0.1099945016
192	0.1093963023
193	0.1087064083
194	0.1080751817
195	0.1076493474
196	0.1069612792
197	0.1064034161
198	0.1059744528
199	0.1054671821
200	0.1049522907
201	0.1043805518
202	0.1037564116
203	0.1031665079
204	0.1024982137
205	0.1018888312
206	0.1012878701
207	0.1008651044
208	0.1003834253
209	0.09980535801
210	0.09937367115
211	0.09857288851
212	0.09796968
213	0.09740416753
214	0.09693476727
215	0.09630473441
216	0.09583904326
217	0.09546283782
218	0.09488763835
219	0.09427284897
220	0.09384291442
221	0.09333272342
222	0.09282793201
223	0.09234565687
224	0.0918557395
225	0.09147632986
226	0.09092410137
227	0.09036451398
228	0.08996454806
229	0.08934202008
230	0.08906029464
231	0.08859460041
232	0.0881922066
233	0.08774652125
234	0.08732699127
235	0.08686989632
236	0.08647204645
237	0.08589355133
238	0.08564662412
239	0.08518439322
240	0.0848428059
241	0.08449475317
242	0.08413380105
243	0.08372847564
244	0.08339006383
245	0.08286850481
246	0.08253589066
247	0.08216632864
248	0.08182351456
249	0.08152526086
250	0.08120030342
251	0.08082962188
252	0.08047120828
253	0.08008531209
254	0.07967521086
255	0.07942293689
256	0.07909778251
257	0.07881879217
258	0.07856770745
259	0.07820946687
260	0.0777863648
261	0.077549394
262	0.0772143197
263	0.07696224094
264	0.07661987854
265	0.07633755528
266	0.07596345717
267	0.07564318149
268	0.07538309509
269	0.07500353957
270	0.07468499976
271	0.07434989205
272	0.07408388304
273	0.07371172834
274	0.07351768634
275	0.07320752891
276	0.07293680287
277	0.07258038386
278	0.07226746749
279	0.07196613888
280	0.07161462762
281	0.07130399458
282	0.07096494469
283	0.07071075142
284	0.0703696476
285	0.07010129293
286	0.0698167076
287	0.06952149581
288	0.06918105203
289	0.06889019016
290	0.06867994727
291	0.06840074917
292	0.06808385884
293	0.06782936877
294	0.06759972345
295	0.06726338439
296	0.06704577898
297	0.06672704182
298	0.06649332523
299	0.06624601691
300	0.06599325128
301	0.06580710382
302	0.06557975453
303	0.06543082541
304	0.06516936287
305	0.06486814561
306	0.06464235679
307	0.06451798408
308	0.06431629702
309	0.06411614235
310	0.06386587594
311	0.06370297609
312	0.06353186814
313	0.0632743542
314	0.0630087617
315	0.06272191658
316	0.06252577853
317	0.06221750098
318	0.06201524758
319	0.06172673139
320	0.06150041218
321	0.06131049643
322	0.06115930423
323	0.06095127114
324	0.06075610707
325	0.06056338654
326	0.06039620282
327	0.06016461302
328	0.0599607148
329	0.05977946773
330	0.05960050311
331	0.05941246413
332	0.05927326234
333	0.05917456909
334	0.05897635288
335	0.05871293454
336	0.05846451571
337	0.05829633014
338	0.05809920494
339	0.05788155597
340	0.05768747422
341	0.05756988306
342	0.05731021448
343	0.05711720294
344	0.05691352835
345	0.05675625426
346	0.05656005437
347	0.05628302761
348	0.0561159409
349	0.05592497168
350	0.05572421479
351	0.05555605789
352	0.05538575537
353	0.05512092652
354	0.05491693226
355	0.0547297827
356	0.05447350604
357	0.05427917356
358	0.05412916495
359	0.05400101753
360	0.05374221115
361	0.05361361502
362	0.05347641968
363	0.05333050344
364	0.05305476974
365	0.05284963215
366	0.05273499005
367	0.05252109121
368	0.05237659605
369	0.05220543153
370	0.05202117056
371	0.05184757507
372	0.0516991275
373	0.05153970418
374	0.05139817443
375	0.05122064831
376	0.05103123446
377	0.05085373467
378	0.05072256711
379	0.05045833923
380	0.05032596871
381	0.05008648278
382	0.04990162368
383	0.04971371205
384	0.04950963937
385	0.04932375513
386	0.04916185748
387	0.04891331153
388	0.04878556899
389	0.04864346216
390	0.04855242163
391	0.04838609897
392	0.04824959717
393	0.04816088349
394	0.04795886201
395	0.04776268969
396	0.04759638921
397	0.04745241436
398	0.04729014465
399	0.04713945311
400	0.04692496063
401	0.04676128357
402	0.04660411038
403	0.04649449452
404	0.04637602004
405	0.04620752934
406	0.04607283576
407	0.04592879986
408	0.04573516252
409	0.04563382801
410	0.04549167263
411	0.04535057602
412	0.04517539007
413	0.04505857421
414	0.04493746385
415	0.04481883822
416	0.04465260559
417	0.04449619038
418	0.04439878877
419	0.04427318264
420	0.04416786265
421	0.0440751446
422	0.0439176659
423	0.04381006586
424	0.04368921703
425	0.04354342007
426	0.04338051945
427	0.04325234425
428	0.04311623884
429	0.0430068172
430	0.04290877465
431	0.04278289314
432	0.04264746557
433	0.04253023244
434	0.04243458697
435	0.04230490135
436	0.04217870282
437	0.04204368339
438	0.04191909012
439	0.04181565111
440	0.04169671844
441	0.04155324961
442	0.04142701452
443	0.0412794901
444	0.04116061232
445	0.04107772572
446	0.0409196631
447	0.0407921349
448	0.04067385112
449	0.04055893774
450	0.04046606088
451	0.0403823586
452	0.04024201211
453	0.04008913783
454	0.03999455104
455	0.03994176778
456	0.03984889397
457	0.03972466638
458	0.0396070201
459	0.03947390538
460	0.03935039448
461	0.03926943595
462	0.03915973374
463	0.03904648884
464	0.03896304467
465	0.03887605578
466	0.03876027611
467	0.03863804447
468	0.03854112311
469	0.03841550445
470	0.03829584785
471	0.03816539324
472	0.03806653678
473	0.0379664249
474	0.0378994499
475	0.03778403944
476	0.03768418804
477	0.03756379148
478	0.03747200117
479	0.037346666
480	0.0372229081
481	0.03712377998
482	0.03704338428
483	0.03694446962
484	0.03685321805
485	0.03676511591
486	0.03666151558
487	0.03658003617
488	0.03646342294
489	0.03634810814
490	0.03625680342
491	0.03613068046
492	0.03603289361
493	0.03596838633
494	0.03585871516
495	0.03577661323
496	0.03570412223
497	0.03562608143
498	0.03552143431
499	0.035425118
500	0.0353706183
501	0.03527320893
502	0.03516677089
503	0.03507130452
504	0.03495184528
505	0.0348877869
506	0.03479229645
507	0.03473208778
508	0.03465169934
509	0.03458871523
510	0.03450779129
511	0.03441209741
512	0.03435176864
513	0.0342536397
514	0.03416593307
515	0.03405881719
516	0.03399105601
517	0.03389600226
518	0.03382733201
519	0.03372365124
520	0.03365529289
521	0.03357185066
522	0.03345132608
523	0.03336372709
524	0.03332876913
525	0.033227221
526	0.03313892518
527	0.03309890857
528	0.03300833381
529	0.03290737401
530	0.03285292789
531	0.03279731254
532	0.0327051841
533	0.03260513191
534	0.03250244487
535	0.03240297953
536	0.03233380193
537	0.03225213688
538	0.03214009226
539	0.03207216669
540	0.03197641507
541	0.03186425482
542	0.03177924951
543	0.03171325442
544	0.03165200158
545	0.03159555124
546	0.03152064551
547	0.03138978967
548	0.03130823762
549	0.03122399536
550	0.03115280233
551	0.03105434275
552	0.03098945974
553	0.03088530136
554	0.03082074559
555	0.03075400178
556	0.03069269521
557	0.03063669061
558	0.03058645797
559	0.03051414165
560	0.03045762869
561	0.03037795313
562	0.03028059472
563	0.03018703589
564	0.03014230499
565	0.0300728311
566	0.02996285048
567	0.02990610732
568	0.02984894772
569	0.02979332584
570	0.02971554662
571	0.02965086602
572	0.0296100722
573	0.02952598369
574	0.02945038186
575	0.02936001642
576	0.02928825547
577	0.02920727915
578	0.02911419676
579	0.02904476951
580	0.02897564055
581	0.02892226758
582	0.02881967613
583	0.02875588345
584	0.02871657033
585	0.02865068847
586	0.02857357738
587	0.02850287945
588	0.02843352314
589	0.02836280747
590	0.02830221801
591	0.02825596803
592	0.02821629367
593	0.02814745922
594	0.02803907301
595	0.02797694992
596	0.02792152572
597	0.02786515825
598	0.02781153197
599	0.02775395398
600	0.02770704292
601	0.02765926272
602	0.02760064624
603	0.02752462234
604	0.0274354597
605	0.02739923091
606	0.02734329148
607	0.02726771272
608	0.0272142108
609	0.02713348313
610	0.02707317477
611	0.02702479442
612	0.02695737396
613	0.02690457054
614	0.02684444007
615	0.02683174791
616	0.02677587007
617	0.02671804574
618	0.02664039223
619	0.02657240027
620	0.02649919131
621	0.026444094
622	0.02636998269
623	0.02629613114
624	0.02624113783
625	0.0261898976
626	0.02611000962
627	0.02608720511
628	0.02603192229
629	0.0259574919
630	0.02588967997
631	0.02582397976
632	0.02576567199
633	0.02573554168
634	0.02567057873
635	0.02560267356
636	0.02551965689
637	0.02545943272
638	0.02539960574
639	0.02532903477
640	0.02528062368
641	0.02521220407
642	0.02516836549
643	0.02512341972
644	0.02505690728
645	0.02496878117
646	0.02491896552
647	0.02486603482
648	0.02479687617
649	0.02473837453
650	0.02469092674
651	0.02461841445
652	0.02456851588
653	0.02452011229
654	0.0244506338
655	0.02438527423
656	0.02433008735
657	0.02428223789
658	0.02421957266
659	0.02415971619
660	0.02411615383
661	0.02402794213
662	0.02397521357
663	0.02393321358
664	0.02385491363
665	0.02378968746
666	0.02374543146
667	0.02367620287
668	0.02362072759
669	0.02357611346
670	0.02353884608
671	0.02348242051
672	0.02344916586
673	0.02339668846
674	0.02332407033
675	0.02327158449
676	0.02320412283
677	0.02315571476
678	0.02309857071
679	0.02305390475
680	0.02301305878
681	0.02298905069
682	0.02292920263
683	0.02288084512
684	0.02281787988
685	0.02276895183
686	0.02272102479
687	0.02267865497
688	0.02263917222
689	0.02261258081
690	0.02253191161
691	0.02246751599
692	0.02241452475
693	0.02237855779
694	0.02233701987
695	0.02229492768
696	0.02223022754
697	0.02218099878
698	0.02213199457
699	0.0220998856
700	0.0220437841
701	0.02200142464
702	0.02195280473
703	0.02191853304
704	0.02187885668
705	0.02184689698
706	0.02180140997
707	0.02177598518
708	0.02171709814
709	0.02168121564
710	0.02164689682
711	0.02160074603
712	0.02155971499
713	0.02151955931
714	0.0214905174
715	0.02144849453
716	0.02140100638
717	0.02137409074
718	0.02133306112
719	0.02128155048
720	0.02124817985
721	0.02117826299
722	0.02113572761
723	0.02110791859
724	0.02105799144
725	0.02102108663
726	0.02095968636
727	0.0209209435
728	0.02089594069
729	0.02085210496
730	0.02080284017
731	0.02075430025
732	0.02070199329
733	0.02065515355
734	0.02061073416
735	0.02056697431
736	0.02051958091
737	0.02049226867
738	0.02044996643
739	0.02040637671
740	0.02038638925
741	0.02035161106
742	0.02031696656
743	0.02027725479
744	0.02022214924
745	0.02018865955
746	0.02014626204
747	0.02010509251
748	0.0200628997
749	0.02002388488
750	0.01998899315
751	0.01995056217
752	0.01991014733
753	0.01988034869
754	0.01984925941
755	0.01981896679
756	0.01978180249
757	0.01975192213
758	0.01970916255
759	0.01968249122
760	0.01965666592
761	0.01960348752
762	0.01957587318
763	0.01955164705
764	0.01951982671
765	0.01947099004
766	0.0194285026
767	0.01938420754
768	0.01934348244
769	0.01929960781
770	0.01925838673
771	0.01920118451
772	0.01916475163
773	0.01911725477
774	0.01908504945
775	0.01905932035
776	0.01901053302
777	0.01898715979
778	0.01896323016
779	0.01893627084
780	0.01890302832
781	0.01886239799
782	0.01881182028
783	0.01879503752
784	0.01875040613
785	0.01870408818
786	0.01866226302
787	0.01862732704
788	0.01858653626
789	0.01856720807
790	0.01851652431
791	0.01848775762
792	0.01843443472
793	0.01841948865
794	0.01838615278
795	0.01834583731
796	0.01829118064
797	0.0182604877
798	0.01822542945
799	0.01820088793
800	0.01817491967
801	0.01815589668
802	0.01812852155
803	0.01808279897
804	0.0180458321
805	0.01801098036
806	0.01798235964
807	0.01795866216
808	0.01793258259
809	0.0178929753
810	0.0178561814
811	0.01782356373
812	0.01779188974
813	0.01775276474
814	0.01771782456
815	0.01768454935
816	0.01764141881
817	0.01761459657
818	0.01757845978
819	0.01754380379
820	0.0175107832
821	0.01747778236
822	0.01744734528
823	0.0173893304
824	0.01735756389
825	0.01731929137
826	0.01729060805
827	0.01725338192
828	0.01722672454
829	0.01718187471
830	0.01714971734
831	0.01711409934
832	0.01709839507
833	0.01707473344
834	0.01704889594
835	0.01702888946
836	0.01698440136
837	0.01696812229
838	0.01694680477
839	0.01692059869
840	0.01687922425
841	0.01683631465
842	0.01679949157
843	0.01676910334
844	0.01674494713
845	0.01671392688
846	0.01668893655
847	0.01665389841
848	0.01662668291
849	0.01659909637
850	0.01657461112
851	0.01651752552
852	0.01648689748
853	0.01645441215
854	0.01641819864
855	0.01638823865
856	0.0163512597
857	0.01630995461
858	0.01628344153
859	0.01624692626
860	0.01621392869
861	0.01619383932
862	0.01616156957
863	0.01613875268
864	0.01610993847
865	0.01607016466
866	0.01603887157
867	0.01600608679
868	0.01597394488
869	0.01594405392
870	0.01590783994
871	0.01586859598
872	0.01583829155
873	0.01580285206
874	0.01577294012
875	0.01574676368
876	0.01571600696
877	0.0156841396
878	0.01565534759
879	0.01563461634
880	0.01561296845
881	0.01558231254
882	0.01554437642
883	0.01552292166
884	0.01549789987
885	0.01547115878
886	0.01544290743
887	0.01540323253
888	0.01537836599
889	0.01537199972
890	0.01534640433
891	0.01532277302
892	0.01529922833
893	0.01527086884
894	0.01524740422
895	0.01522736721
896	0.01519575351
897	0.01517863332
898	0.01515220313
899	0.01512237635
900	0.01509609851
901	0.01507567825
902	0.0150575877
903	0.01502989066
904	0.01499365508
905	0.01495392369
906	0.01492728308
907	0.0149040142
908	0.0148791815
909	0.01483612932
910	0.01481472248
911	0.01479039268
912	0.01475650443
913	0.01474536413
914	0.0147117474
915	0.01467621853
916	0.01463838393
917	0.01460752863
918	0.01457930528
919	0.01454504325
920	0.01452000354
921	0.01449392793
922	0.01447485923
923	0.0144517932
924	0.01441142314
925	0.0143902496
926	0.01436418802
927	0.01433471075
928	0.0143249692
