iter	Passed	Remaining
0	26	25167
1	55	25723
2	92	28763
3	129	30199
4	159	29592
5	183	28421
6	202	26755
7	218	25316
8	236	24296
9	255	23611
10	275	23158
11	293	22523
12	311	22074
13	330	21712
14	350	21497
15	370	21276
16	390	21040
17	409	20850
18	434	20908
19	461	21103
20	485	21103
21	511	21194
22	534	21175
23	565	21442
24	588	21413
25	612	21384
26	631	21202
27	648	20995
28	1012	31606
29	1026	30939
30	1039	30284
31	1052	29657
32	1065	29101
33	1079	28578
34	1094	28110
35	1109	27668
36	1124	27256
37	1137	26829
38	1152	26442
39	1169	26128
40	1183	25783
41	1199	25472
42	1215	25177
43	1229	24859
44	1243	24566
45	1255	24232
46	1273	24026
47	1287	23760
48	1300	23497
49	1315	23254
50	1330	23042
51	1349	22888
52	1365	22693
53	1383	22547
54	1404	22446
55	1426	22366
56	1451	22329
57	1475	22286
58	1492	22141
59	1511	22012
60	1527	21854
61	1549	21798
62	1571	21730
63	1590	21617
64	1609	21512
65	1628	21413
66	1648	21328
67	1668	21244
68	1681	21075
69	1695	20932
70	1711	20807
71	1723	20632
72	1739	20511
73	1754	20385
74	1770	20280
75	1789	20198
76	1816	20217
77	1841	20206
78	1863	20170
79	1887	20149
80	1910	20117
81	1933	20092
82	1960	20099
83	1984	20078
84	1997	19951
85	2006	19789
86	2022	19689
87	2035	19564
88	2043	19405
89	2058	19302
90	2072	19196
91	2082	19056
92	2097	18966
93	2112	18875
94	2126	18783
95	2142	18699
96	2158	18622
97	2182	18620
98	2207	18620
99	2233	18624
100	2254	18597
101	2278	18581
102	2298	18543
103	2323	18540
104	2349	18550
105	2370	18515
106	2388	18461
107	2403	18382
108	2417	18299
109	2432	18223
110	2442	18107
111	2455	18024
112	2471	17955
113	2487	17889
114	2501	17813
115	2513	17723
116	2525	17636
117	2541	17573
118	2555	17503
119	2571	17445
120	2586	17377
121	2600	17309
122	2616	17249
123	2631	17190
124	2641	17094
125	2652	17010
126	2667	16948
127	2682	16892
128	2695	16823
129	2711	16771
130	2728	16723
131	2743	16667
132	2760	16626
133	2776	16573
134	2789	16511
135	2805	16463
136	2823	16422
137	2840	16384
138	2857	16340
139	2872	16292
140	2897	16293
141	2919	16283
142	2943	16284
143	2967	16281
144	2992	16284
145	3016	16279
146	3038	16267
147	3059	16247
148	3080	16229
149	3097	16189
150	3113	16143
151	3127	16090
152	3143	16044
153	3157	15992
154	3171	15938
